sep=;
Timestamp [us];Power measure [W]
1455970.000000;132.7960
1461239.000000;132.7960
1466561.000000;132.7960
1471810.000000;132.7960
1477070.000000;143.1610
1482303.000000;143.1610
1487574.000000;143.1610
1493026.000000;143.1610
1498251.000000;143.1610
1503575.000000;143.1610
1508833.000000;143.1610
1514304.000000;143.1610
1519578.000000;143.1610
1524838.000000;143.1610
1530077.000000;143.1610
1535387.000000;143.1610
1540635.000000;143.1610
1545872.000000;143.1610
1551110.000000;143.1610
1556332.000000;143.1610
1561605.000000;143.1610
1567006.000000;143.1610
1572232.000000;143.1610
1577462.000000;143.1610
1582691.000000;146.0920
1587976.000000;146.0920
1593483.000000;146.0920
1598711.000000;146.0920
1603947.000000;146.0920
1609217.000000;146.0920
1614447.000000;146.0920
1619722.000000;146.0920
1624938.000000;146.0920
1630120.000000;146.0920
1635369.000000;146.0920
1640646.000000;146.0920
1646037.000000;146.0920
1651322.000000;146.0920
1656555.000000;146.0920
1661803.000000;146.0920
1667203.000000;146.0920
1672449.000000;146.0920
1677711.000000;146.0920
1682937.000000;146.1940
1688391.000000;146.1940
1693673.000000;146.1940
1698932.000000;146.1940
1704179.000000;146.1940
1709559.000000;146.1940
1714796.000000;146.1940
1720059.000000;146.1940
1725355.000000;146.1940
1730971.000000;146.1940
1736208.000000;146.1940
1741482.000000;146.1940
1746722.000000;146.1940
1752129.000000;146.1940
1757374.000000;146.1940
1762601.000000;146.1940
1767844.000000;146.1940
1773288.000000;146.1940
1778562.000000;146.1940
1783777.000000;146.1940
1789177.000000;146.7010
1794403.000000;146.7010
1799661.000000;146.7010
1804905.000000;146.7010
1810230.000000;146.7010
1815467.000000;146.7010
1820709.000000;146.7010
1825951.000000;146.7010
1831526.000000;146.7010
1836784.000000;146.7010
1842020.000000;146.7010
1847252.000000;146.7010
1852760.000000;146.7010
1858024.000000;146.7010
1863326.000000;146.7010
1868579.000000;146.7010
1873849.000000;146.7010
1879241.000000;146.7010
1884517.000000;146.7010
1889722.000000;146.8100
1895014.000000;146.8100
1900208.000000;146.8100
1905504.000000;146.8100
1910690.000000;146.8100
1915978.000000;146.8100
1921204.000000;146.8100
1926732.000000;146.8100
1931984.000000;146.8100
1937247.000000;146.8100
1942461.000000;146.8100
1947707.000000;146.8100
1953183.000000;146.8100
1958426.000000;146.8100
1963712.000000;146.8100
1968967.000000;146.8100
1974311.000000;146.8100
1979587.000000;146.8100
1984827.000000;146.8100
1990110.000000;146.8100
1995399.000000;146.8490
2000809.000000;146.8490
2006079.000000;146.8490
2011700.000000;146.8490
2017321.000000;146.8490
2022714.000000;146.8490
2027961.000000;146.8490
2033235.000000;146.8490
2038469.000000;146.8490
2043917.000000;146.8490
2049167.000000;146.8490
2054392.000000;146.8490
2059625.000000;146.8490
