sep=;
Timestamp [us];Power measure [W]
1322867.000000;119.0030
1328732.000000;119.0030
1334567.000000;119.0030
1340307.000000;129.3920
1346297.000000;129.3920
1352101.000000;129.3920
1357868.000000;129.3920
1363802.000000;129.3920
1369652.000000;129.3920
1375842.000000;129.3920
1381683.000000;129.3920
1387529.000000;129.3920
1393309.000000;129.3920
1399249.000000;129.3920
1405225.000000;129.3920
1410993.000000;129.3920
1416858.000000;129.3920
1422692.000000;129.3920
1428564.000000;129.3920
1434352.000000;129.3920
1440375.000000;129.3920
1446289.000000;139.7290
1452133.000000;139.7290
1457939.000000;139.7290
1463914.000000;139.7290
1469726.000000;139.7290
1475585.000000;139.7290
1481387.000000;139.7290
1487227.000000;139.7290
1492993.000000;139.7290
1498804.000000;139.7290
1504876.000000;139.7290
1510656.000000;139.7290
1516628.000000;139.7290
1522365.000000;139.7290
1528353.000000;139.7290
1534096.000000;139.7290
1540269.000000;139.7290
1546210.000000;144.5450
1552053.000000;144.5450
1557834.000000;144.5450
1563651.000000;144.5450
1569535.000000;144.5450
1575258.000000;144.5450
1581171.000000;144.5450
1586913.000000;144.5450
1592999.000000;144.5450
1598807.000000;144.5450
1604955.000000;144.5450
1610690.000000;144.5450
1616586.000000;144.5450
1622377.000000;144.5450
1628152.000000;144.5450
1634135.000000;144.5450
1639846.000000;144.5450
1645663.000000;144.5450
1651455.000000;145.2370
1657410.000000;145.2370
1663202.000000;145.2370
1669402.000000;145.2370
1675184.000000;145.2370
1681166.000000;145.2370
1686937.000000;145.2370
1692786.000000;145.2370
1698601.000000;145.2370
1704459.000000;145.2370
1710232.000000;145.2370
1715970.000000;145.2370
1722001.000000;145.2370
1727744.000000;145.2370
1733660.000000;145.2370
1739392.000000;145.2370
1745420.000000;145.2370
1751175.000000;145.2370
1757342.000000;145.4340
1763228.000000;145.4340
1769242.000000;145.4340
1775203.000000;145.4340
1781209.000000;145.4340
1787013.000000;145.4340
1793237.000000;145.4340
1798981.000000;145.4340
1805220.000000;145.4340
1811378.000000;145.4340
1817167.000000;145.4340
1823264.000000;145.4340
1829143.000000;145.4340
1834929.000000;145.4340
1840740.000000;145.4340
1846540.000000;145.4340
1852901.000000;145.4340
1858715.000000;145.6040
1865002.000000;145.6040
1870738.000000;145.6040
1876733.000000;145.6040
1882520.000000;145.6040
1888541.000000;145.6040
1894303.000000;145.6040
1900480.000000;145.6040
1906230.000000;145.6040
1911988.000000;145.6040
1917733.000000;145.6040
1923500.000000;145.6040
1929577.000000;145.6040
1935355.000000;145.6040
1941333.000000;145.6040
1947107.000000;145.6040
1953054.000000;145.6040
1958791.000000;145.6040
1964989.000000;145.6760
1970769.000000;145.6760
1976766.000000;145.6760
1982527.000000;145.6760
1988342.000000;145.6760
1994293.000000;145.6760
2000095.000000;145.6760
2005962.000000;145.6760
2011710.000000;145.6760
2017708.000000;145.6760
2023440.000000;145.6760
2029649.000000;145.6760
2035403.000000;145.6760
2041418.000000;145.6760
2047176.000000;145.6760
2053017.000000;145.6760
2058798.000000;145.6760
2064900.000000;145.9150
2070680.000000;145.9150
2076504.000000;145.9150
2082457.000000;145.9150
2088341.000000;145.9150
2094476.000000;145.9150
2100375.000000;145.9150
2106136.000000;145.9150
2111950.000000;145.9150
2117961.000000;145.9150
2123691.000000;145.9150
2129449.000000;145.9150
2135267.000000;145.9150
2141065.000000;145.9150
2146948.000000;145.9150
2152747.000000;145.9150
2158874.000000;145.9150
2164675.000000;145.9150
2170644.000000;145.9180
2176504.000000;145.9180
2182479.000000;145.9180
2188314.000000;145.9180
2194125.000000;145.9180
2199932.000000;145.9180
2205815.000000;145.9180
2211604.000000;145.9180
2217338.000000;145.9180
2223421.000000;145.9180
2229194.000000;145.9180
2237895.000000;145.9180
2243753.000000;145.9180
2249542.000000;145.9180
2255282.000000;145.9180
2261270.000000;145.9180
2267185.000000;145.9180
2272983.000000;146.1220
2278818.000000;146.1220
2284677.000000;146.1220
2290502.000000;146.1220
2296344.000000;146.1220
2302367.000000;146.1220
2308138.000000;146.1220
2313999.000000;146.1220
2319767.000000;146.1220
2325734.000000;146.1220
2331492.000000;146.1220
2337535.000000;146.1220
2343317.000000;146.1220
2349418.000000;146.1220
2355551.000000;146.1220
2361631.000000;146.1220
2367416.000000;146.1220
2373524.000000;146.0930
2379344.000000;146.0930
2385338.000000;146.0930
2391151.000000;146.0930
2397414.000000;146.0930
2403182.000000;146.0930
2409045.000000;146.0930
2414855.000000;146.0930
2420728.000000;146.0930
2426476.000000;146.0930
2432342.000000;146.0930
2438285.000000;146.0930
2444108.000000;146.0930
2449999.000000;146.0930
2455792.000000;146.0930
2461847.000000;146.0930
2467645.000000;146.0930
2473724.000000;146.0930
2479569.000000;146.1110
2485397.000000;146.1110
2491168.000000;146.1110
2496916.000000;146.1110
2502854.000000;146.1110
2509046.000000;146.1110
2514847.000000;146.1110
2520701.000000;146.1110
2526539.000000;146.1110
2532347.000000;146.1110
2538375.000000;146.1110
2544226.000000;146.1110
2550071.000000;146.1110
2555882.000000;146.1110
2561690.000000;146.1110
2567513.000000;146.1110
2573288.000000;146.1110
2579270.000000;146.1110
2585077.000000;146.3140
2591029.000000;146.3140
2596847.000000;146.3140
2602962.000000;146.3140
2608788.000000;146.3140
2614717.000000;146.3140
2620588.000000;146.3140
2626404.000000;146.3140
2632230.000000;146.3140
2638507.000000;146.3140
2644333.000000;146.3140
2650293.000000;146.3140
2656063.000000;146.3140
2661819.000000;146.3140
2667687.000000;146.3140
2673433.000000;146.3140
2679298.000000;146.3140
2685049.000000;146.2530
2691042.000000;146.2530
2696785.000000;146.2530
2702621.000000;146.2530
2708597.000000;146.2530
2714334.000000;146.2530
2720317.000000;146.2530
2726150.000000;146.2530
2732114.000000;146.2530
2737832.000000;146.2530
2743875.000000;146.2530
2749674.000000;146.2530
2755684.000000;146.2530
2761513.000000;146.2530
2767389.000000;146.2530
2773130.000000;146.2530
2778916.000000;146.2530
2784822.000000;146.2530
2790608.000000;146.4240
2796691.000000;146.4240
2802449.000000;146.4240
2808348.000000;146.4240
2814151.000000;146.4240
2820173.000000;146.4240
2825971.000000;146.4240
2832198.000000;146.4240
2838186.000000;146.4240
2844150.000000;146.4240
2849970.000000;146.4240
2855910.000000;146.4240
2861759.000000;146.4240
2867966.000000;146.4240
2873767.000000;146.4240
2879735.000000;146.4240
2885584.000000;146.4240
2891612.000000;146.4560
2897364.000000;146.4560
2903533.000000;146.4560
2909465.000000;146.4560
2915359.000000;146.4560
2922415.000000;146.4560
2928480.000000;146.4560
2934286.000000;146.4560
2940501.000000;146.4560
2946255.000000;146.4560
2952346.000000;146.4560
2958128.000000;146.4560
2964150.000000;146.4560
2969913.000000;146.4560
2976103.000000;146.4560
2981916.000000;146.4560
2987735.000000;146.4560
2993522.000000;146.4810
2999286.000000;146.4810
3005492.000000;146.4810
3011241.000000;146.4810
3017183.000000;146.4810
3022964.000000;146.4810
3028983.000000;146.4810
3034760.000000;146.4810
3040951.000000;146.4810
3046853.000000;146.4810
3052948.000000;146.4810
3058759.000000;146.4810
3064619.000000;146.4810
3070482.000000;146.4810
3076887.000000;146.4810
3082699.000000;146.4810
3088717.000000;146.4810
3094531.000000;146.4810
